Character,Pinyin,Frequency,Log_frequency,Frequency_per_million,CD,Log_CD,Strokes,PSY_Tone,PSY_Rhyme,Gloss
不,bù,497715,5.696980729590844,9690.857715529268,324787,5.51159863774508,4,level|oblique,xp11|r05,"no, not"
人,rén,403228,5.605550681729338,7851.130013998847,297457,5.473424193552133,2,level,sp11,man
一,yī,372551,5.571185733466791,7253.827457034939,277917,5.443915113097562,1,oblique,r04,one
风,fēng,339988,5.531463588731215,6619.803166445386,282719,5.45135499603065,4,level,sp01,wind
山,shān,322613,5.508681863717887,6281.49981451241,247044,5.39277431056895,3,level,sp15,"mountain, hill, peak"
无,wú,306612,5.486589148012807,5969.949199589846,231606,5.364749806062041,4,level,sp07,"negative, no, not"
有,yǒu,278598,5.444977994384852,5424.4971074430605,210814,5.323899448669797,6,oblique,s25|r17,"have, own, possess"
天,tiān,266296,5.4253646430030615,5184.968598926257,207279,5.316555304765835,4,level,xp01,"sky, heaven"
云,yún,249915,5.397792323440278,4866.019119328325,208285,5.318657994615069,4,level,sp12,"say, speak"
来,lái,249327,5.396769311460363,4854.570349778017,206118,5.314115919772067,7,level,sp10,"come, coming"
日,rì,248086,5.394602256838511,4830.407215403985,199733,5.3004498251806185,4,oblique,r17|r04,sun
何,hé,240840,5.38172861853511,4689.322548462612,193235,5.286085791490414,7,level,xp05,"what, why, where, which, how"
花,huā,231689,5.364905415090343,4511.146204661826,184943,5.267037898133678,7,level,xp06,flower
春,chūn,210534,5.323322241834435,4099.243619905446,172772,5.2374733606497905,9,level,sp11,spring
中,zhōng,200444,5.30199306080659,3902.7842920778935,164572,5.216355947037269,4,level|oblique,q01|sp01,central
年,nián,196280,5.292876049308878,3821.7083117930642,158615,5.200344255548981,6,level|oblique,r17|xp01,year
月,yuè,195221,5.29052653307233,3801.0888441846023,166575,5.221609821940174,4,oblique,r06|r17,moon
生,shēng,193807,5.287369459022649,3773.5572793136253,155556,5.191886767078517,5,level,xp08,"life, living, lifetime"
如,rú,192414,5.284236668021685,3746.434599069445,148457,5.171600680138194,6,level|oblique,sp06|q06,"if, supposing"
时,shí,191853,5.282968594638109,3735.511538325019,157671,5.197751822066099,7,level,sp04,"time, season"
水,shuǐ,186913,5.271639508077191,3639.3262975452258,158311,5.199511092204917,4,oblique,s04|r17,"water, liquid, lotion, juice"
自,zì,185989,5.269487259376148,3621.3353739661716,154261,5.188256142358243,6,oblique,q04,"self, private, personal"
上,shàng,169926,5.230259834387761,3308.577575859732,144776,5.160696573384254,3,oblique,s22|q23,top
为,wèi,168707,5.227133102733187,3284.84279680901,130178,5.114537594939494,4,level|oblique,r17|sp04|q04,"do, handle, govern, act"
心,xīn,160541,5.205585963842755,3125.84508907464,135471,5.1318463366279685,4,level,xp12,heart
相,xiāng,160314,5.204971450346999,3121.4252409659325,131061,5.117473477314801,9,level|oblique,xp07|q23,"mutual, reciprocal, each other"
长,zhǎng,152065,5.182029266281665,2960.81146542089,129844,5.113421885986146,4,level|oblique,xp07|s22|q23,long
知,zhī,151676,5.180916866929421,2953.237364476894,130568,5.115836751776015,8,level,sp04,"know, perceive, comprehend"
清,qīng,151197,5.179543174125694,2943.9109008466266,131585,5.119206384805906,11,level,xp08,"clear, pure, clean"
此,cǐ,150455,5.177406625019452,2929.4636440331437,123577,5.091937647916427,6,oblique,s04,"this, these"
我,wǒ,149056,5.173349462518567,2902.2241396098784,106057,5.025539338208975,7,oblique,s20,"our, us, i, me, my, we"
秋,qiū,147445,5.168630049799126,2870.856847525618,129000,5.110589710299249,9,level,xp11,"autumn, fall"
