Character,pinyin,Tang_diversity,Song_diversity,Yuan_diversity,Ming_diversity,Qing_diversity,gloss
不,bù,20592,132816,21854,98768,47156,"no, not"
人,rén,18365,114350,20822,91618,49903,man
无,wú,14269,97263,15943,63887,37747,"negative, no, not"
一,yī,13728,111728,17552,82629,50731,one
山,shān,14781,89026,18781,84423,38180,"mountain, hill, peak"
风,fēng,15012,102224,21343,91811,49536,wind
日,rì,13541,70102,14582,71469,27928,sun
云,yún,12618,66712,17005,77582,32068,"say, speak"
有,yǒu,11355,86166,14662,65135,31154,"have, own, possess"
何,hé,11614,71228,12524,65357,30521,"what, why, where, which, how"
来,lái,11876,81283,14485,65257,31702,"come, coming"
天,tiān,10870,72681,15369,69501,36945,"sky, heaven"
中,zhōng,10727,60734,12072,54646,24528,central
时,shí,10698,61483,10505,48536,24717,"time, season"
花,huā,10708,60043,13388,62193,37533,flower
上,shàng,10502,49578,11789,49523,21622,top
春,chūn,10550,61572,12575,57329,29413,spring
水,shuǐ,10555,52622,12306,54857,26578,"water, liquid, lotion, juice"
月,yuè,10529,55177,12746,58423,28258,moon
相,xiāng,8817,48931,9188,42146,20471,"mutual, reciprocal, each other"
生,shēng,8785,60628,11918,47175,25377,"life, living, lifetime"
为,wèi,8295,51786,8935,41879,17590,"do, handle, govern, act"
心,xīn,8891,48187,8745,43374,24467,heart
自,zì,8764,61964,10060,50486,21310,"self, private, personal"
年,nián,8462,60068,10524,51233,27297,year
如,rú,7812,59660,11115,42649,25782,"if, supposing"
君,jūn,7818,40840,6851,38467,13400,"sovereign, monarch, ruler, chief, prince"
长,zhǎng,8571,42905,9675,47204,19590,long
知,zhī,8613,55727,7969,39481,17612,"know, perceive, comprehend"
白,bái,8190,38947,11158,49332,15980,white
归,guī,8371,49061,8981,38207,18795,return
此,cǐ,7716,50203,7309,37215,20075,"this, these"
见,jiàn,7590,41970,7514,33395,15615,"see, observe, behold"
行,xíng,7395,41534,7723,34312,14964,go
秋,qiū,7956,39717,9642,45964,24675,"autumn, fall"
去,qù,7563,42279,7693,32729,17533,"go away, leave, depart"
得,dé,7260,52571,8386,32458,18280,"obtain, get, gain, acquire"
清,qīng,7447,50916,10509,41587,19663,"clear, pure, clean"
空,kōng,7333,39308,8371,35770,19923,"empty, hollow, bare, deserted"
在,zài,7244,37488,7422,33998,14306,"be at, in, on"
夜,yè,7271,35171,8293,37082,18648,"night, dark"
下,xià,7059,38379,8214,35210,15727,"under, underneath, below"
江,jiāng,6996,40045,9178,44399,20486,large river
高,gāo,7042,37817,8167,40896,16636,"high, tall"
是,shì,6654,42905,6576,32598,18584,"indeed, yes, right"
未,wèi,6811,52702,7007,37005,19322,not yet
里,lǐ,6829,38146,7916,39462,18830,unit of distance
金,jīn,6411,30452,7978,32160,14650,gold
明,míng,6708,39808,8525,36999,17085,"bright, light, brilliant"
处,chù,6343,36814,6337,29326,17923,"place, locale"
多,duō,6585,32610,6473,31987,15691,"much, many"
门,mén,6443,31412,6476,34157,14386,"gate, door, entrance, opening"
青,qīng,6154,34042,9084,40547,17314,"blue, green"
子,zi,5865,42897,8195,35856,15070,"offspring, child"
三,sān,5969,43648,7590,36377,17292,three
玉,yù,5998,36220,8328,34115,15876,"jade, precious stone, gem"
寒,hán,6359,40297,7443,33873,20004,"cold, wintry, chilly"
道,dào,5862,32443,6747,29287,11972,"path, road, street"
客,kè,6364,33062,6756,35155,13880,"guest, traveller"
声,shēng,6022,33094,6245,30083,19208,"sound, voice, noise"
家,jiā,5855,36744,7390,32116,15578,"house, home, residence"
千,qiān,6060,42337,8039,40696,18118,thousand
